,R/O,Year,Host_City,Country,Contestant,Song,Points,Place,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
44,19,2018,Lisbon,Moldova,DoReDoS,My Lucky Day,209,10th,0ThWw4Mty8Sb0mzaXyFvt8,0.735,0.8740000000000001,11.0,-4.891,0.0,0.0709,0.008159999999999999,1.61e-06,0.325,0.818,122.00200000000001,183934.0,4.0
45,20,2018,Lisbon,Sweden,Benjamin Ingrosso,Dance You Off,274,7th,0s3P5PImfDZYWIseR3b39D,0.73,0.6920000000000001,8.0,-5.432,1.0,0.0695,0.10400000000000001,5.42e-06,0.106,0.76,109.08,182134.0,4.0
46,21,2018,Lisbon,Hungary,AWS,Viszlát Nyár,93,21st,5hC0zQNulh7R4R8pM6gCJ9,0.345,0.937,3.0,-3.517,0.0,0.0583,3.4200000000000005e-05,0.0,0.133,0.42700000000000005,164.023,178175.0,4.0
47,22,2018,Lisbon,Israel,Netta,TOY,529,1st,6n2eIfLj0wOOUkUfNmYzlh,0.7859999999999999,0.7120000000000001,3.0,-5.349,0.0,0.0677,0.0696,0.0,0.23600000000000002,0.795,130.144,180231.0,4.0
48,23,2018,Lisbon,The Netherlands,Waylon,Outlaw In 'Em,121,18th,1Ryw2NPudgM1SRGZx91RbL,0.583,0.875,11.0,-6.01,0.0,0.0502,0.0608,0.0,0.341,0.726,86.992,176163.0,4.0
49,24,2018,Lisbon,Ireland,Ryan O'Shaughnessy,Together,136,16th,,,,,,,,,,,,,,
50,25,2018,Lisbon,Cyprus,Eleni Foureira,Fuego,436,2nd,4TwWOcvjY1qt3QJvtveAGm,0.586,0.7390000000000001,11.0,-4.584,0.0,0.105,0.0558,0.0,0.579,0.522,101.03299999999999,183397.0,4.0
51,26,2018,Lisbon,Italy,Ermal Meta e Fabrizio Moro,Non Mi Avete Fatto Niente,308,5th,,,,,,,,,,,,,,
52,1,2017,Kyiv,Israel,IMRI,I Feel Alive,39,23rd,0uvCOD3I7rr86UEQfXXijF,0.649,0.665,0.0,-6.382000000000001,0.0,0.0405,0.289,0.0,0.0693,0.46399999999999997,125.03,180480.0,4.0
53,2,2017,Kyiv,Poland,Kasia Moś,Flashlight,64,22nd,,,,,,,,,,,,,,
54,3,2017,Kyiv,Belarus,Naviband,Story of My Life,83,17th,,,,,,,,,,,,,,
55,4,2017,Kyiv,Austria,Nathan Trent,Running On Air,93,16th,1WpQu8U3quBeGnhpZn0r7N,0.715,0.5429999999999999,9.0,-4.9719999999999995,1.0,0.0334,0.11199999999999999,0.0,0.228,0.5379999999999999,90.007,168000.0,4.0
56,5,2017,Kyiv,Armenia,Artsvik,Fly With Me,79,18th,2m3jN95GjlFt51FeE4a55s,0.5770000000000001,0.802,4.0,-4.908,0.0,0.146,0.7929999999999999,0.0606,0.0834,0.332,180.09,179134.0,4.0
57,6,2017,Kyiv,The Netherlands,OG3NE,Lights and Shadows,150,11th,6xT4IlszcN5bCKlBydmJA8,0.408,0.728,6.0,-5.186,1.0,0.0775,0.225,0.0,0.141,0.51,128.251,180114.0,5.0
58,7,2017,Kyiv,Moldova,Sunstroke Project,Hey Mamma,374,3rd,7IVcRgLe3XIn7OEX1E5BoB,0.833,0.8059999999999999,10.0,-5.946000000000001,0.0,0.113,0.231,0.00944,0.0681,0.64,110.098,179625.0,4.0
59,8,2017,Kyiv,Hungary,Joci Pápai,Origo,200,8th,,,,,,,,,,,,,,
60,9,2017,Kyiv,Italy,Francesco Gabbani,Occidentali's Karma,334,6th,4UPyr3Tep8idtAmisAu1qs,0.669,0.8320000000000001,10.0,-4.013999999999999,1.0,0.075,0.0424,3.89e-06,0.111,0.5820000000000001,114.046,217625.0,4.0
61,10,2017,Kyiv,Denmark,Anja,Where I Am,77,20th,,,,,,,,,,,,,,
62,11,2017,Kyiv,Portugal,Salvador Sobral,Amar Pelos Dois,758,1st,3UjSOJ00E1eLMcayBm827Q,0.21,0.0959,5.0,-17.767,1.0,0.0347,0.8540000000000001,0.00355,0.261,0.16699999999999998,175.91400000000002,185080.0,3.0
63,12,2017,Kyiv,Azerbaijan,Dihaj,Skeletons,120,14th,,,,,,,,,,,,,,
64,13,2017,Kyiv,Croatia,Jacques Houdek,My Friend,128,13th,,,,,,,,,,,,,,
65,14,2017,Kyiv,Australia,Isaiah,Don't Come Easy,173,9th,2xI4CmkT6Bl4s5b4qggcgU,0.32899999999999996,0.631,2.0,-4.343,1.0,0.0486,0.26,0.0,0.26899999999999996,0.544,155.856,185237.0,4.0
66,15,2017,Kyiv,Greece,Demy,This is Love,77,19th,,,,,,,,,,,,,,
67,16,2017,Kyiv,Spain,Manel Navarro,Do It For Your Lover,5,26th,1wwcsua0ofpGmmPaTRg1SX,0.6559999999999999,0.768,7.0,-4.117,1.0,0.0512,0.0133,4.94e-06,0.106,0.8809999999999999,169.94,182282.0,4.0
68,17,2017,Kyiv,Norway,JOWST,Grab The Moment,158,10th,7CiatbFJpSnXnbCiVaGlm0,0.693,0.612,4.0,-6.665,0.0,0.0941,0.11699999999999999,0.0,0.0905,0.316,104.014,175083.0,4.0
69,18,2017,Kyiv,United Kingdom,Lucie Jones,Never Give Up On You,111,15th,67bhFQT17Kh4Z7GkyQHGYG,0.41,0.37200000000000005,5.0,-8.181000000000001,1.0,0.0419,0.397,0.0,0.325,0.253,128.437,179948.0,4.0
70,19,2017,Kyiv,Cyprus,Hovig,Gravity,68,21st,,,,,,,,,,,,,,
71,20,2017,Kyiv,Romania,Ilinca ft. Alex Florea,Yodel It!,282,7th,,,,,,,,,,,,,,
72,21,2017,Kyiv,Germany,Levina,Perfect Life,6,25th,04yr4MXjMrQZlZlcdqFtgN,0.812,0.6990000000000001,3.0,-5.882000000000001,1.0,0.0473,0.376,0.0,0.127,0.52,124.014,181613.0,4.0
73,22,2017,Kyiv,Ukraine,O.Torvald,Time,36,24th,,,,,,,,,,,,,,
74,23,2017,Kyiv,Belgium,Blanche,City Lights,363,4th,,,,,,,,,,,,,,
75,24,2017,Kyiv,Sweden,Robin Bengtsson,I Can't Go On,344,5th,715cD5vOTffsOR3MnNYveJ,0.736,0.6679999999999999,4.0,-4.896,0.0,0.0491,0.0298,1.07e-06,0.142,0.455,109.00299999999999,183991.0,4.0
76,25,2017,Kyiv,Bulgaria,Kristian Kostov,Beautiful Mess,615,2nd,54ibWn7vBabFt6srLwccav,0.408,0.506,0.0,-8.24,0.0,0.0355,0.419,0.0,0.10800000000000001,0.213,125.57600000000001,180952.0,4.0
77,26,2017,Kyiv,France,Alma,Requiem,135,12th,,,,,,,,,,,,,,
78,1,2016,Stockholm,Belgium,Laura Tesoro,What's The Pressure,181,10th,4d3fHHVvWpwrKK727XE3b1,0.7490000000000001,0.8109999999999999,11.0,-2.6260000000000003,1.0,0.099,0.0228,0.0,0.0696,0.762,117.01,171893.0,4.0
79,2,2016,Stockholm,Czech Republic,Gabriela Gunčíková,I Stand,41,25th,,,,,,,,,,,,,,
80,3,2016,Stockholm,The Netherlands,Douwe Bob,Slow Down,153,11th,,,,,,,,,,,,,,
81,4,2016,Stockholm,Azerbaijan,Samra,Miracle,117,17th,,,,,,,,,,,,,,
82,5,2016,Stockholm,Hungary,Freddie,Pioneer,108,19th,,,,,,,,,,,,,,
83,6,2016,Stockholm,Italy,Francesca Michielin,No Degree Of Separation,124,16th,60hZOS486h0b6nvykyvR7a,0.28600000000000003,0.777,0.0,-3.661,1.0,0.0424,0.0197,0.0,0.165,0.33899999999999997,149.965,188133.0,4.0
84,7,2016,Stockholm,Israel,Hovi Star,Made Of Stars,135,14th,2VdfyGuvpkm8M20swSPT2P,0.43,0.414,7.0,-6.903,0.0,0.0273,0.619,0.0,0.115,0.361,139.671,192702.0,4.0
85,8,2016,Stockholm,Bulgaria,Poli Genova,If Love Was A Crime,307,4th,1G5qDCiqei7ozj5ku43TuR,0.613,0.8340000000000001,0.0,-5.164,1.0,0.0327,0.0211,0.0,0.225,0.524,110.069,179482.0,4.0
86,9,2016,Stockholm,Sweden,Frans,If I Were Sorry,261,5th,6oDkCmfVcSd9NXAKk1b4Ll,0.735,0.612,5.0,-6.774,1.0,0.0517,0.289,4.1200000000000005e-05,0.10300000000000001,0.395,105.056,184060.0,4.0
87,10,2016,Stockholm,Germany,Jamie-Lee,Ghost,11,26th,,,,,,,,,,,,,,
88,11,2016,Stockholm,France,Amir,J'ai cherché,257,6th,1lzRxwbdl86iJlYMz48KoD,0.5660000000000001,0.875,1.0,-4.8180000000000005,1.0,0.0444,0.0263,0.0,0.17,0.489,120.061,212280.0,4.0
89,12,2016,Stockholm,Poland,Michał Szpak,Color Of Your Life,229,8th,1XoGbKi6ELlajFlNYtIvK3,0.267,0.8009999999999999,8.0,-4.01,0.0,0.0505,0.28,0.0,0.7040000000000001,0.205,82.81700000000001,240067.0,4.0
90,13,2016,Stockholm,Australia,Dami Im,Sound Of Silence,511,2nd,2b9czDPSLTI88694CIqCy3,0.523,0.818,4.0,-4.062,0.0,0.071,0.344,0.0,0.098,0.32,135.56,195480.0,4.0
91,14,2016,Stockholm,Cyprus,Minus One,Alter Ego,96,21st,,,,,,,,,,,,,,
92,15,2016,Stockholm,Serbia,Sanja Vučić ZAA,Goodbye (Shelter),115,18th,,,,,,,,,,,,,,
93,16,2016,Stockholm,Lithuania,Donny Montell,I've Been Waiting for This Night,200,9th,2FuzZfIyH3Hkr84RjV0Hvd,0.48,0.775,9.0,-6.3020000000000005,1.0,0.0353,0.004529999999999999,0.0,0.309,0.609,134.069,184347.0,4.0
94,17,2016,Stockholm,Croatia,Nina Kraljić,Lighthouse,73,23rd,,,,,,,,,,,,,,
95,18,2016,Stockholm,Russia,Sergey Lazarev,You Are The Only One,491,3rd,6IMHlXaG4aCFWupl9NCZO2,0.632,0.8909999999999999,11.0,-5.376,0.0,0.0687,0.0382,0.0,0.106,0.26899999999999996,127.98299999999999,186000.0,4.0
96,19,2016,Stockholm,Spain,Barei,Say Yay!,77,22nd,7DtnbNXYrv8ldS4xqA87tT,0.635,0.785,5.0,-6.209,0.0,0.0326,0.0154,0.0,0.10400000000000001,0.527,125.00399999999999,178284.0,4.0
97,20,2016,Stockholm,Latvia,Justs,Heartbeat,132,15th,,,,,,,,,,,,,,
98,21,2016,Stockholm,Ukraine,Jamala,1944,534,1st,2nxTpjhxLXeyBOxYnRnT76,0.809,0.506,3.0,-5.235,1.0,0.0565,0.596,0.00728,0.24,0.47,120.012,180840.0,4.0
99,22,2016,Stockholm,Malta,Ira Losco,Walk On Water,153,12th,,,,,,,,,,,,,,
100,23,2016,Stockholm,Georgia,Nika Kocharov and Young Georgian Lolitaz,Midnight Gold,104,20th,,,,,,,,,,,,,,
101,24,2016,Stockholm,Austria,ZOË,Loin d'ici,151,13th,5lOZLQnj1NRMFW22ojsMjk,0.6629999999999999,0.5479999999999999,7.0,-7.111000000000001,1.0,0.0324,0.483,0.0,0.10099999999999999,0.502,147.901,258040.0,4.0
102,25,2016,Stockholm,United Kingdom,Joe and Jake,You're Not Alone,62,24th,,,,,,,,,,,,,,
103,26,2016,Stockholm,Armenia,Iveta Mukuchyan,LoveWave,249,7th,4EAR7a3MTuT6o54KlNmxMf,0.534,0.7190000000000001,5.0,-7.718,0.0,0.055,0.0812,5.96e-06,0.11,0.309,119.84700000000001,178000.0,4.0
104,1,2015,Vienna,Slovenia,Maraaya,Here For You,39,14th,,,,,,,,,,,,,,
105,2,2015,Vienna,France,Lisa Angell,N'oubliez Pas,4,25th,4khNyfoM49usoXWeW8KpL0,0.54,0.513,9.0,-5.835,0.0,0.028999999999999998,0.755,0.0,0.102,0.212,126.16,182027.0,4.0
106,3,2015,Vienna,Israel,Nadav Guedj,Golden Boy,97,9th,6YWFr8BHQrRL4b7RwuqS36,0.716,0.8290000000000001,1.0,-5.37,0.0,0.0615,0.179,0.0,0.0705,0.705,115.03299999999999,180586.0,4.0
107,4,2015,Vienna,Estonia,Elina Born & Stig Rästa,Goodbye To Yesterday,106,7th,,,,,,,,,,,,,,
108,5,2015,Vienna,United Kingdom,Electro Velvet,Still In Love With You,5,24th,4HtQzcTI6wh3Xjj4fAzz2l,0.7509999999999999,0.807,0.0,-4.431,1.0,0.0578,0.0274,0.0,0.0774,0.74,117.012,168901.0,4.0
109,6,2015,Vienna,Armenia,Genealogy,Face The Shadow,34,16th,,,,,,,,,,,,,,
110,7,2015,Vienna,Lithuania,Monika Linkytė and Vaidas Baumila,This Time,30,18th,,,,,,,,,,,,,,
111,8,2015,Vienna,Serbia,Bojana Stamenov,Beauty Never Lies,53,10th,0Oe27BTmQBCm24ioA9S50x,0.599,0.7809999999999999,10.0,-9.363999999999999,0.0,0.0316,0.00205,0.24100000000000002,0.35700000000000004,0.43799999999999994,129.025,179105.0,4.0
112,9,2015,Vienna,Norway,Mørland & Debrah Scarlett,A Monster Like Me,102,8th,,,,,,,,,,,,,,
113,10,2015,Vienna,Sweden,Måns Zelmerlöw,Heroes,365,1st,5uSztWifxO3cmeEja82bQs,0.484,0.7909999999999999,7.0,-4.27,1.0,0.0437,0.0738,0.0,0.0491,0.369,124.008,190613.0,4.0
114,11,2015,Vienna,Cyprus,John Karayiannis,One Thing I Should Have Done,11,22nd,2JmRQyQP78XKWlhAK2Yzml,0.349,0.38299999999999995,3.0,-8.067,1.0,0.0349,0.546,0.0,0.37,0.456,180.32299999999998,180532.0,4.0
115,12,2015,Vienna,Australia,Guy Sebastian,Tonight Again,196,5th,,,,,,,,,,,,,,
116,13,2015,Vienna,Belgium,Loïc Nottet,Rhythm Inside,217,4th,3O2MsMZHCgSbRGEca5ML1N,0.821,0.513,7.0,-5.388,1.0,0.0436,0.0802,0.0,0.067,0.308,90.008,172153.0,4.0
117,14,2015,Vienna,Austria,The Makemakes,I Am Yours,—,26th,,,,,,,,,,,,,,
118,15,2015,Vienna,Greece,Maria Elena Kyriakou,One Last Breath,23,19th,2fBHIfKDD61I5G10SPBOuJ,0.225,0.602,2.0,-7.3839999999999995,0.0,0.0447,0.17800000000000002,0.0,0.409,0.305,68.956,167794.0,3.0
119,16,2015,Vienna,Montenegro,Knez,Adio,44,13th,,,,,,,,,,,,,,
120,17,2015,Vienna,Germany,Ann Sophie,Black Smoke,—,27th,7Jw44GPatR76FwBwVIqdcg,0.608,0.857,1.0,-4.4639999999999995,1.0,0.0899,0.00321,8.25e-05,0.149,0.8109999999999999,172.033,192919.0,4.0
121,18,2015,Vienna,Poland,Monika Kuszyńska,In The Name Of Love,10,23rd,,,,,,,,,,,,,,
122,19,2015,Vienna,Latvia,Aminata,Love Injected,186,6th,1hWgnVgAhxwP2YDLWeh8xh,0.44799999999999995,0.292,7.0,-10.177999999999999,0.0,0.0496,0.122,0.016,0.11900000000000001,0.157,144.41899999999998,199784.0,5.0
123,20,2015,Vienna,Romania,Voltaj,De La Capat/ All Over Again,35,15th,3MHTqwEVB3fRhlp0Ebwer3,0.5589999999999999,0.595,4.0,-6.075,1.0,0.0275,0.299,0.0,0.11199999999999999,0.161,97.973,179328.0,4.0
124,21,2015,Vienna,Spain,Edurne,Amanecer,15,21st,,,,,,,,,,,,,,
125,22,2015,Vienna,Hungary,Boggie,Wars For Nothing,19,20th,1tZjWXMJhOoi8BUeICyEeM,0.33,0.18100000000000002,2.0,-10.579,1.0,0.0354,0.8390000000000001,0.0,0.18,0.23800000000000002,174.051,184520.0,3.0
126,23,2015,Vienna,Georgia,Nina Sublatti,Warrior,51,11th,,,,,,,,,,,,,,
127,24,2015,Vienna,Azerbaijan,Elnur Huseynov,Hour Of The Wolf,49,12th,3XhbPuJJG3MlAP2exjHoVy,0.483,0.672,2.0,-5.1370000000000005,1.0,0.04,0.0602,4.51e-05,0.306,0.19399999999999998,106.23200000000001,179220.0,4.0
128,25,2015,Vienna,Russia,Polina Gagarina,A Million Voices,303,2nd,6VlxdfLIfqf7saVOuerWyR,0.43,0.664,7.0,-3.958,1.0,0.0293,0.18,0.0,0.16899999999999998,0.324,76.101,180382.0,4.0
129,26,2015,Vienna,Albania,Elhaida Dani,I'm Alive,34,17th,,,,,,,,,,,,,,
130,27,2015,Vienna,Italy,Il Volo,Grande Amore,292,3rd,4IzDqftkFXUR8G2vaTd3Rb,0.456,0.604,1.0,-6.361000000000001,1.0,0.0294,0.0595,0.000128,0.153,0.154,142.241,224680.0,4.0
131,1,2014,Copenhagen,Ukraine,Mariya Yaremchuk,Tick - Tock,113,6th,,,,,,,,,,,,,,
132,2,2014,Copenhagen,Belarus,Teo,Cheesecake,43,16th,4g7dROdE3ceRrBqmXR5TNF,0.804,0.797,1.0,-4.148,0.0,0.0675,0.17800000000000002,0.0,0.0731,0.894,95.02799999999999,176901.0,4.0
133,3,2014,Copenhagen,Azerbaijan,Dilara Kazimova,Start A Fire,33,22nd,,,,,,,,,,,,,,
134,4,2014,Copenhagen,Iceland,Pollapönk,No Prejudice,58,15th,6ZAi2xX3hauYCgr1QS21h3,0.7070000000000001,0.9309999999999999,7.0,-5.374,1.0,0.0897,0.11,0.0,0.262,0.762,108.10700000000001,166050.0,4.0
135,5,2014,Copenhagen,Norway,Carl Espen,Silent Storm,88,8th,4FaLpfPfxHBPA0LJcSsrYA,0.348,0.201,9.0,-10.911,1.0,0.037000000000000005,0.8640000000000001,2.14e-05,0.1,0.243,74.521,177186.0,4.0
136,6,2014,Copenhagen,Romania,Paula Seling & OVI,Miracle,72,12th,,,,,,,,,,,,,,
137,7,2014,Copenhagen,Armenia,Aram MP3,Not Alone,174,4th,,,,,,,,,,,,,,
138,8,2014,Copenhagen,Montenegro,Sergej Ćetković,Moj Svijet,37,19th,1bAMRpm6JOcWrt5CUUOeNw,0.19,0.5820000000000001,0.0,-5.358,0.0,0.0378,0.317,0.0,0.109,0.235,53.31100000000001,186533.0,4.0
139,9,2014,Copenhagen,Poland,Donatan & Cleo,My Słowianie - We Are Slavic,62,14th,,,,,,,,,,,,,,
140,10,2014,Copenhagen,Greece,Freaky Fortune feat. RiskyKidd,Rise Up,35,20th,,,,,,,,,,,,,,
141,11,2014,Copenhagen,Austria,Conchita Wurst,Rise Like a Phoenix,290,1st,0fvafkeEoF6Y9gGLK3Wnu3,0.426,0.45,2.0,-8.91,0.0,0.0252,0.0791,0.0,0.127,0.20800000000000002,82.10700000000001,181990.0,4.0
142,12,2014,Copenhagen,Germany,Elaiza,Is it right,39,18th,2yexaJabgZ6OBOeYSr6JSy,0.7509999999999999,0.738,7.0,-6.263,0.0,0.0679,0.175,0.0,0.311,0.772,128.001,234988.0,4.0
143,13,2014,Copenhagen,Sweden,Sanna Nielsen,Undo,218,3rd,3XhlY1x0LcIyHpZJB1g6WS,0.58,0.493,6.0,-3.53,1.0,0.0383,0.39899999999999997,0.0,0.0829,0.256,121.904,187653.0,4.0
144,14,2014,Copenhagen,France,TWIN TWIN,Moustache,2,26th,6ILOO5bZA9x6zanAMO0hKr,0.6559999999999999,0.894,3.0,-5.277,0.0,0.0439,0.00427,3.19e-05,0.0881,0.787,128.0,169181.0,4.0
145,15,2014,Copenhagen,Russia,Tolmachevy Sisters,Shine,89,7th,,,,,,,,,,,,,,
146,16,2014,Copenhagen,Italy,Emma,La Mia Città,33,21st,0DkS9GB9fVpgmIY0I87QOJ,0.648,0.9259999999999999,9.0,-4.177,0.0,0.0394,0.0884,0.0,0.0702,0.92,135.91,211493.0,4.0
