song_key,artist_key,year,lyrics,to_country,matched_song_key,matched_artist_key,Album Date,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,liveness,loudness,key,music_available,lyrics_translation,language,total_words,negative,positive,sentiment_score,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,dominant_theme,arc,ending,arc_fit_pct,total_emotion_words,joy_pct,fear_pct,sadness_pct,anger_pct,trust_pct,disgust_pct,anticipation_pct,surprise_pct
amor grande grande um,cid josé,1980,"Addio, adieu, auf Wiederseh'n, goodbye Amore, amour, meine Liebe, love of my life Se o nosso amor findar, só me ouvirás cantar Addio, adieu, auf Wiederseh'n, goodbye Amore, amour, meine Liebe, love of my life Oo... ah...  Este amor não tem grades, fronteiras Barreiras, muro em Berlim É um mar, é um rio, é uma fonte Que nasce dentro de mim É o grito do meu universo Das estrelas p'ra onde eu regresso Onde sempre esta música paira no ar  Addio, adieu, auf Wiederseh'n, goodbye Amore, amour, meine Liebe, love of my life Se o nosso amor findar, só me ouvirás cantar Addio, adieu, auf Wiederseh'n, goodbye Amore, amour, meine Liebe, love of my life  Este amor é um pássaro livre voando no céu azul Que compôs a mais bela canção Deste mundo de Norte a Sul E as palavras que uso em refrão Fazem parte da mesma canção Que ecoa nas galáxias da minha ilusão  Addio, adieu, auf Wiederseh'n, goodbye Amore, amour, meine Liebe, love of my life Se o nosso amor findar, só me ouvirás cantar Addio, adieu, auf Wiederseh'n, goodbye Amore, amour, meine Liebe, love of my life  (Addio, adieu, auf Wiederseh'n, goodbye) Um grande amor (Amore, amour, meine Liebe, love of my life) (Love of my life) Se o nosso amor findar, só me ouvirás cantar Addio, adieu, auf Wiederseh'n Addio, adieu, auf Wiederseh'n Amore, amour, meine Liebe, love of my life",Portugal,amor grande grande um,cid josé,2008-06-23,51,71,84,142,19,0,0,80,-8,G,TRUE,"Goodbye, goodbye, goodbye,
goodbye

Love, love, my love,
love of my life

If our love ends, you’ll only see me singing
Goodbye, goodbye, goodbye,
goodbye

Love, love, my love,
love of my life
This love doesn’t have many borders, barriers, Berlin wall
It’s a sea, it’s a river, it’s a fountain that grows inside of me
It’s the shout of my universe from the stars to which I return
Where this music always floats in the air
Goodbye, goodbye, goodbye,
goodbye

Love, love, my love,
love of my life

If our love ends, you’ll only see me singing
Goodbye, goodbye, goodbye,
goodbye

Love, love, my love,
love of my life
This is a free bird, flying in the blue sky
It composed the most beautiful song of this world from north to south
And the words I use in the chorus are parts of the same song
Which echoes in the galaxies of my illusion
Goodbye, goodbye, goodbye,
goodbye

Love, love, my love,
love of my life

If our love ends, you’ll only see me singing
Goodbye, goodbye, goodbye,
goodbye

Love, love, my love,
love of my life
(Goodbye, goodbye, goodbye,
goodbye
) A big love
(Love, love, my love,
love of my life
)
Love of my life

If our love ends, you’ll only see me singing
Goodbye, goodbye, goodbye
Goodbye, goodbye, goodbye
Love, love, my love,
love of my life

",Portuguese (It./Fr./Germ./Engl.),128,1,41,40,2,0,0,1,41,2,2,0,joy,fall-rise,happy ending,3.3333333333333335,48,85.41666666666666,2.083333333333333,4.166666666666666,4.166666666666666,0,0,0,4.166666666666666
bist du musik,blue danube,1980,"Du bist Liszt, Chopin, Debussy, Couperin Du bist Mozart, Gesualdo und Boulez Du bist Gluck und Bach, Johann Strauß, Offenbach Du bist Schubert, Gershwin und Chavez Du bist Mahler, Schumann, Monteverdi Frank Martin, Tschaikowski, Josquin Du bist Palestrina und Puccini Strawinski und Rossini, De Falla und Messiaen  Du bist Musik, Musik, Musik Bist meine Harmonie, Melodie Bist meine Symphonie Du bist Musik, du bist Musik Du bist Musik, Musik, Musik  Du bist ein Ballett, ein Konzert, Menuett Ein Capriccio, eine Polka, ein Duett Du bist ein Chanson, Intermezzo, Passion Ein Refrain, eine Variation Eine Bagatelle, Ballade Eine Tarantella, eine Suite Humoreske, Walzer, Serenade Romanze und Kantate, Sonate und mein Lied  Du bist Musik, Musik, Musik Bist meine Harmonie, Melodie Bist meine Symphonie Du bist Musik, du bist Musik Du bist Musik, Musik, Musik  Du bist Musik, Musik, Musik Bist meine Harmonie, Melodie Bist meine Symphonie Du bist Musik, du bist Musik Du bist Musik",Austria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"You are Liszt1, Chopin2, Debussy3, Couperin4
You are Mozart5, Gesualdo6 and Boulez7
You are Gluck8 und Bach9, Johann Strauss10, Offenbach11
You are Schubert12, Gershwin13 and Chavez14 You are Mahler15, Schumann16, Monteverdi17
Frank Martin18, Tchaikovsky19, Josquin20
You are Palestrina21 and Puccini22
Stravinsky23 and Rossini24, De Falla25 and Messiaen26 You are music, music, music
You are my harmony, my melody
You are my symphony
You are music, you are music
You are music, music, music You are a ballet27, a concerto28, a minuet29
A capriccio30, a polka31, a duet32
You are a chanson33, an intermezzo34, a passion35
A refrain36, a variation37 A bagatelle38, a ballad39
A tarantella40, a suite41
A humoresque42, a waltz43, a serenade44
A romance45 and cantata46, a sonata47 and my song You are music, music, music
You are my harmony, my melody
You are my symphony
You are music, you are music
You are music, music, music You are music, music, music
You are my harmony, my melody
You are my symphony
You are music, you are music
You are music",German,83,0,3,3,0,3,0,0,28,22,0,4,joy,fall,sad ending,11.11111111111111,57,49.122807017543856,0,38.59649122807017,0,7.017543859649122,0,5.263157894736842,0
papa pingouin,and magaly sophie,1980,"Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin s'ennuie sur la banquise Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin voudrait faire sa valise  On le sent nerveux, un peu malheureux Pas très bien dans ses plumes Pour se calmer les nerfs, il plonge dans la mer Il envie l'oiseau qui s'en va là-haut du côté de la lune Lui qui a des pieds de plomb, ça le rend grognon (Pa papapa papapa papapa...) (Papapa papapa papapa papapa...)  Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin s'ennuie sur la banquise Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin voudrait faire sa valise  Sur la neige bleue fait un pas douteux et glisse sur la glace On l'entend murmurer: ""Je veux m'en aller"" Très haut dans le ciel, plus près du soleil, en traversant l'espace ""J'ai des ailes d'un oiseau, je peux voler haut"" (Pa papapa papapa papapa...) (Papapa papapa papapa papapa...)  Mais voyons papa, pourquoi dis-tu ça? Tu sais bien que les ailes Celles des pingouins et des moulins ne servent plus à rien Mais pourquoi, papa, aller là-bas? Ici la vie est belle Laisse le ciel aux anges et aux saints, viens, papa Papapa papapa papapa... Papapa papapa papapa...  Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin poursuit son joli rêve  Voilà qu'il se prend pour un goéland, il fait de longs voyages Il descend vers le sud jusqu'en Angleterre Et voici Paris, Rome et Napoli, les rives de Carthage Et la Méditerranée, que c'est beau l'été (Pa papapa papapa papapa...) (Papapa papapa papapa papapa...)  Mais voyons papa, tu n'y penses pas? Tu sais bien que les ailes Celles des pingouins et des moulins ne servent plus à rien Mais pourquoi, papa, aller là-bas? Ici la vie est belle Si tu pars, tu n'iras pas loin, reste là Papapa papapa papapa... Papapa papapa papapa papapa...  Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin revient de ses chimères Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin redescend sur la terre  (Le papa pingouin, le papa pingouin) (Le papa, le papa, le papa pingouin) (Le papa pingouin adore sa banquise) Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin va brûler sa valise  (Le papa pingouin, le papa pingouin) Le papa, le papa, le papa pingouin",Luxembourg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Papa penguin, papa penguin
Papa, papa, papa penguin
Papa penguin is bored on the ice floe
Papa penguin, papa penguin
Papa, papa, papa penguin
Papa penguin wants to pack his suitcase He feels nervous, a little unhappy
Doesn't feel very well in his feathers
To calm down his nerves, he dives into the sea
He envies the bird that is flying up there next to the moon
He has lead feet, it makes him grumpy
(Pa papapa papapa papapa...)
(Papapa papapa papapa papapa...) Papa penguin, papa penguin
Papa, papa, papa penguin
Papa penguin is bored on the ice floe
Papa penguin, papa penguin
Papa, papa, papa penguin
Papa penguin wants to pack his suitcase On the blue snow he makes an insecure step and slips on the ice
He murmurs: ""I want to leave""
Very high in the sky, closer to the sun, crossing space
""I have wings of a bird, I can fly high""
(Pa papapa papapa papapa...)
(Papapa papapa papapa papapa...) But look papa, why do you say that?
You know that the wings
Of penguins and mills are good for nothing
But why, papa, go there?
Here life is beautiful
Leave the sky to the angels and the saints, come, papa
Papapa papapa papapa...
Papapa papapa papapa... Papa penguin, papa penguin
Papa, papa, papa penguin
Papa penguin pursues his wonderful dream Look how he pretends to be a big seagull, he makes long journeys
He travels down south as far as England
And here's Paris, Rome and Naples, the shores of Carthage
And the Mediterranean, how beautiful is the summer
(Pa papapa papapa papapa...)
(Papapa papapa papapa papapa...) But look papa, don't you think about it?
You know very well that wings
Of penguins and mills are good for nothing
But why, papa, go there?
Here life is beautiful
If you leave, you won't go very far, stay here
(Papapa papapa papapa...)
(Papapa papapa papapa papapa...) Papa penguin, papa penguin
Papa, papa, papa penguin
Papa penguin gives up his fantasy
Papa penguin, papa penguin
Papa, papa, papa penguin
Papa penguin comes back down to earth (Papa penguin, papa penguin)
(Papa, papa, papa penguin)
(Papa penguin loves his ice floe)
Papa penguin, papa penguin
Papa, papa, papa penguin
Papa penguin is going to burn his suitcase (Papa penguin, papa penguin)
Papa, papa, papa penguin",French,225,7,7,0,3,2,2,3,5,7,5,2,sadness,rise,happy ending,45.45454545454545,29,17.24137931034483,10.344827586206897,24.137931034482758,10.344827586206897,6.896551724137931,6.896551724137931,6.896551724137931,17.24137931034483
just nu,ledin tomas,1980,"Han är trött på stan, det händer ingenting Det mesta är sig likt här runt omkring Veckan kryper fram, helgen springer förbi Samma snack varje dag om att göra sig fri  Just nu vill jag leva, just nu! Just nu vill jag känna, just nu!  Känna luften i mina lungor, känna blodet som pulserar Känna ljuset i mina ögon, känna tiden som passerar  Han vill dra iväg, kanske ner till Paris Och hitta äventyret på något vis Inte sitta här på stans konditori Och låta tankarna, bara fladdra förbi  Just nu vill jag leva, just nu! Just nu vill jag känna, just nu!  Känna luften i mina lungor, känna blodet som pulserar Känna ljuset i mina ögon, känna tiden som passerar  Känna luften i mina lungor (just nu!) Känna blodet som pulserar (just nu!) Känna ljuset i mina ögon (just nu!) Känna tiden som passerar (just nu!)  Just nu vill jag leva, just nu! Just nu vill jag känna, just nu!  Känna luften i mina lungor (just nu!) Känna blodet som pulserar (just nu!) Känna ljuset i mina ögon (just nu!) Känna tiden som passerar (just nu!)  Just nu vill jag leva, just nu! Just nu vill jag känna, just nu!  Känna luften i mina lungor (just nu!) Känna blodet som pulserar (just nu!) Känna ljuset i mina ögon (just nu!) Känna tiden som passerar (just nu!)",Sweden,just nu,ledin tomas,1992-01-01,75,47,90,140,1,23,0,0,-14,A minor,TRUE,"He's fed up with the city, nothing is happening
Most things around here are like that
The week goes by like in slow-motion, the weekend spins away
The same drivel every day about setting oneself free Right now, I want to live right now
Right now, I want to feel, right now Feel the air in my lungs
Feel the pulsating blood
Feel the light in my eyes
Feel the time that is going by He wants to go away, maybe down to Paris
And somehow find adventures
No longer sit around at the local café
And just let his thoughts flash by Right now, I want to live right now
Right now, I want to feel, right now Feel the air in my lungs
Feel the pulsating blood
Feel the light in my eyes
Feel the time that is going by Feel the air in my lungs (Right now)
Feel the pulsating blood (Right now)
Feel the light in my eyes (Right now)
Feel the time that is going by (Right now) Right now, I want to live right now
Right now, I want to feel, right now Feel the air in my lungs (Right now)
Feel the pulsating blood (Right now)
Feel the light in my eyes (Right now)
Feel the time that is going by (Right now) Right now, I want to live right now
Right now, I want to feel, right now Feel the air in my lungs (Right now)
Feel the pulsating blood (Right now)
Feel the light in my eyes (Right now)
Feel the time that is going by (Right now)",Swedish,82,1,1,0,0,6,1,0,0,0,0,0,anticipation,rise-fall,sad ending,3.3333333333333335,7,0,0,0,0,0,14.285714285714285,85.71428571428571,0
dames hé hé msieurs,profil,1980,"Dududu dududu... dududu dududu dudu... Hé, hé, m'sieurs, dames Si on chantait toute la nuit Pour rire et faire peur aux ennuis C'est fête aujourd'hui  Hé, hé, m'sieurs, dames On va s'balader sur la gamme Le cœur empli de notes en flammes Pour chauffer nos âmes  On va chanter, hé, hé, m'sieurs, dames On va danser, hé, hé, m'sieurs, dames Chacun se dévoile, ce soir c'est le bal C'est le carnaval, le carnaval  Dududu dududu... dududu dududu dudu... Hé, hé, m'sieurs, dames Dehors dans la nuit qui scintille Il y a tous les lampions qui brillent Dans les yeux des filles  Hé, hé, m'sieurs, dames On a le droit d'être un peu fou Riez nez-à-nez, joue-à-joue Moquez-vous de tout  On va chanter, hé, hé, m'sieurs, dames On va danser, hé, hé, m'sieurs, dames Faire ce qu'il nous plaît, ce soir c'est le bal C'est le carnaval, le carnaval  Dududu dududu... dududu dududu dudu... Hé, hé, m'sieurs, dames Ce soir l'argent est interdit On jette la monnaie, les billets Comme des confettis  Hé, hé, m'sieurs, dames Finie la peur des lendemains Et tous pour longtemps on sera bien La main dans la main  On va chanter, hé, hé, m'sieurs, dames On va danser, hé, hé, m'sieurs, dames Vivre enfin not' vie, ce soir c'est le bal C'est le carnaval, le carnaval  Hé, hé, m'sieurs, dames On va chanter, hé, hé, m'sieurs, dames Vivre enfin not' vie, ce soir c'est le bal C'est le carnaval, le carnaval  Hé hé, m'sieurs, dames On va danser, hé hé, m'sieurs, dames Vivre enfin not' vie, ce soir c'est le bal C'est le carnaval, le carnaval  Dududu dududu dudu...",France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Dududu dududu
Dududu dududu dudu
Hey, hey, men, women
If we sang all night
To laugh and to fear boredom
Today's a party Hey, hey, men, women
Let's walk on the (musical) scale
The heart filled with burning notes
To heat up our souls Let's sing, hey, hey, men, women
Let's dance, hey, hey, men, women
Everybody reveals themselves, tonight is the dance
It's the carnival, the carnival Dududu dududu
Dududu dududu dudu Hey, hey, men, women
Outside in the night that sparkles
There are all the lamps that shine
In girls' eyes Hey, hey, men, women
You have the right to be a little crazy
Laugh nose to nose, cheek to cheek
Make fun of everything Let's sing, hey, hey, men, women
Let's dance, hey, hey, men, women
Everybody reveals themselves, tonight is the dance
It's the carnival, the carnival Dududu dududu
Dududu dududu dudu Hey, hey, men, women
Tonight money is forbidden
Let's throw coins, bills
Like confetti Hey, hey, men, women
The fear of tomorrows is over
And for a long time we'll all be good
Hand in hand Let's sing, hey, hey, men, women
Let's dance, hey, hey, men, women
Finally live our life, tonight is the dance
It's the carnival, the carnival Let's sing, hey, hey, men, women
Let's dance, hey, hey, men, women
Finally live our life, tonight is the dance
It's the carnival, the carnival Let's sing, hey, hey, men, women
Let's dance, hey, hey, men, women
Finally live our life, tonight is the dance
It's the carnival, the carnival Dududu dududu dudu",French,148,6,2,-4,5,12,5,3,23,8,7,20,joy,rise,happy ending,27.27272727272727,83,27.710843373493976,3.614457831325301,9.63855421686747,6.024096385542169,24.096385542168676,6.024096385542169,14.457831325301203,8.433734939759036
esta noche quédate,limpio trigo,1980,"Duérmete junto a mí esta noche Quédate junto a mí esta noche Quiéreme mucho a mí esta noche Yo seré para ti esta noche  Duérmete junto a mí esta noche Quédate junto a mí esta noche Quiéreme mucho a mí esta noche Yo seré para ti esta noche  Suelta las llaves y pon la maleta De nuevo en su sitio otra vez Piensa que no hay que enfadarse Y menos marcharse sin decir porqué  Ven a mis brazos y dime qué pasa Que quiero salvar nuestro amor Si acaso tal vez cometí una falta Yo quiero pedirte perdón  Duérmete junto a mí esta noche Quédate junto a mí esta noche Quiéreme mucho a mí esta noche Yo seré para ti esta noche  Deja tus cosas y ven Que ya hablaremos después Y ahora quédate aquí Que te quiero decir cuánto te necesito, mi amor  Juntos veremos los dos Por este gran ventanal La mañana llegar y sentarse a tus pies Cuando estés disfrutando, mi amor  Duérmete junto a mí esta noche Quédate junto a mí esta noche Quiéreme mucho a mí esta noche Yo seré para ti esta noche  Duérmete junto a mí esta noche Quédate junto a mí esta noche Quiéreme mucho a mí esta noche Yo seré para ti esta noche  Duérmete junto a mí esta noche Quédate junto a mí esta noche Quiéreme mucho a mí esta noche Yo seré para ti esta noche",Spain,esta noche quédate,limpio trigo,1980-03-14,79,63,55,127,24,0,0,10,-11,E minor,TRUE,"Sleep with me this night
Stay with me this night
Love me a lot this night
I'll be yours this night Let go the keys and put the case
back again in its place
Think that ther's no reason to be angry
and even to leave without saying why
Come to my arms and tell me what's going on,
I want to save our love
If maybe I made a fault,
I want to apologize. Leave your stuff and come,
we'll talk later
And now stay here I want to say
how much I need you
Together we will see
on that great window
The morning coming and sitting at your feet
when you're enjoying my love",Spanish,29,2,4,2,1,2,1,0,5,4,2,3,joy,rise,happy ending,33.33333333333333,18,27.77777777777778,0,22.22222222222222,5.555555555555555,16.666666666666664,5.555555555555555,11.11111111111111,11.11111111111111
otostop,and anna epikouri the vissi,1980,"An thes ton kosmo na this mazi mu xekina (xekina) Ke kane me otostop to yiro tis yis Boris na pas opu thes, Evropi i Kina (Kina) Ke ""yia Athina"" na pis ke opu vrethis Ke ande, m' otostop, otostop Taksidi m' otostop, otostop, xekina yelasta Otostop, me otostop Ta sinora in' anikta ki emis mia sindrofia I thromi m' otostop, otostop Thiki mas m' otostop, otostop ki o kosmos mia stalia Otostop, me otostop, pandu tha pame Yia hara, me otostop, otostop  Pekino, Vladivostok, Parisi, Londino Me mia mikri sak-voyage ton kosmo na this Stokholmi, Kairo, Madriti, Romi, Verolino Ruleta miazi na in' o yiros tis yis  Ke ande, m' otostop, otostop Taksidi m' otostop, otostop, xekina yelasta Otostop, me otostop Ta sinora in' anikta ki emis mia sindrofia I thromi m' otostop, otostop Thiki mas m' otostop, otostop ki o kosmos mia stalia Otostop, me otostop, pandu tha pame Yia hara, me otostop, otostop  Ke ande, m' otostop, hey, la la la la la la... Otostop, me otostop, pandu tha pame, yia hara Me otostop, otostop, otostop, otostop Otostop",Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"If you want to see the world with me start (start)
And make the round of the world with an autostop
You can go wherever you want,Europe or China (China)
And say ''to Athens'' and you will be somewhere Oh come on,with an autostop,autostop
Start a trip laughing with an autostop,autostop
Autostop,with an autostop
The borders are open and we are a company
The roads with an autostop,autostop
Ours with an autostop,autostop and the world just a mite
Autostop,with an autostop we'll go everywhere
Hey you,with an autostop,autostop Peking,Vladivostok,Paris,London
You will see the world with a small travel sack
Stockholm, Cairo, Madrid, Rome, Berlin
The round of the world seems to be a roulette Oh come on,with an autostop,autostop
Start a trip laughing with an autostop,autostop
Autostop,with an autostop
The borders are open and we are a company
The roads with an autostop,autostop
Ours with an autostop,autostop and the world just a mite
Autostop,with an autostop we'll go everywhere
Hey you,with an autostop,autostop Oh come on,with an autostop,hey la la la la la la...
Autostop,with an autostop,we will go everywhere,hey you
With an autostop,autostop,autostop,autostop
Autostop",Greek,87,1,0,-1,0,5,2,0,2,0,2,0,anticipation,rise,happy ending,33.33333333333333,11,18.181818181818183,0,0,0,0,18.181818181818183,45.45454545454545,18.181818181818183
altid dig på tænker,bamses venner,1980,"Det er i dag, jeg skal af sted, min ven Jeg glæder mig til vi skal ses igen For det er her hos dig, jeg har det bedst Ja, det er dig, jeg elsker allermest Når jeg sådan må forlade dig Ved du så, at jeg...  Altid tænker på dig? At du er lyset for mig, der altid viser vej  Jeg ved, du drømmer om At vi en dag ka' hygge os og bare slappe af At vi ka' leve, li'som andre gør At vi ka' få det, som vi havde før Det er svært at lave om på mig Ka' det trøste lidt, at jeg...  Altid tænker på dig? At du er lyset for mig, der altid viser vej  Min ven, jeg håber på, at du trods alt Vil holde ud, vi har jo sammen valgt Det liv, der holder mig så længe væk Til tider op til flere døgn i træk Når jeg nu har sagt farvel til dig Håber jeg, du ved, at jeg...  Altid tænker på dig At du er lyset for mig, der altid viser vej  Jeg tænker altid på dig For du er lyset for mig, der altid viser vej",Denmark,altid dig på tænker,bamse,2019-06-14,37,56,57,92,71,0,0,30,-7,F,TRUE,"Always thinking of you
It's today that I'll be leaving, my friend
I'm looking forward to when we meet again
For it is here with you I feel best
Yes, you're the one I love the most of all
When I have to leave you like this
Do you know that I'm...
Always thinking of you?
That you're my light, that always shows the way
I know you have a dream
That one day we can enjoy ourselves and just relax
That we can live, like everybody else does
That we can get what we had before
It's hard to change me
Can it comfort you, that I'm...
Always thinking of you?
That you're my light, that always shows the way
My friend I hope that you after all
Will hang on, for we've together chosen
The life that keeps me away for so long
Sometimes several days running
When I've now said goodbye to you
I hope, you know, that I'm...
Always thinking of you
That you're my light, that always shows the way
I'm always thinking about you
For you're my light, that always shows the way",Danish,33,2,3,1,0,4,0,1,7,1,3,6,joy,fall,sad ending,33.33333333333333,22,31.818181818181817,4.545454545454546,4.545454545454546,0,27.27272727272727,0,18.181818181818183,13.636363636363635
petroil,ajda pekkan,1980,"Sen gelmeden önce her yer karanlık Dünya ıssız, dünya durgundu bilmem niçin Her yerde aradım tatlı bir ışık Bir ateş bu gönlümü ısıtmak için  Sen gelince sanki bir güneş doğdu Aydınlık günüm gecem artık çok güzel hayat Sanki her şey birden bambaşka oldu Sensiz ne kadar zormuş, meğer ne güçmüş hayat  Aman pet'r oil, canım pet'r oil Artık sana, sana, sana muhtacım pet'r oil Aman pet'r oil, canım pet'r oil Artık sana, sana, sana muhtacım pet'r oil  Eninde pet'r oil, sonunda pet'r oil Artık dizginlerim senin elinde pet'r oil Eninde pet'r oil, sonunda pet'r oil Artık dizginlerim senin elinde pet'r oil  Öyle gururlusun gidemem yanına Girmişsin kim bilir kaç aşığın kanına Dolardan, marktan başka laf çıkmaz dilinden Neler, neler çekiyorum senin elinden  Nice zengin dilber düşmüş ardına Düş başka, gerçek başka, yar olmazsın sen bana Belki gideceksin bir gün gerçekten İşte senin ardından ağlıyorum şimdiden  Aman pet'r oil, canım pet'r oil Artık sana, sana, sana muhtacım pet'r oil Aman pet'r oil, canım pet'r oil Artık sana, sana, sana muhtacım pet'r oil  Eninde pet'r oil, sonunda pet'r oil Artık dizginlerim senin elinde pet'r oil Eninde pet'r oil, sonunda pet'r oil Artık dizginlerim senin elinde pet'r oil  (Aman pet'r oil, canım petr'oil) (Artık sana, sana, sana muhtacım pet'r oil) Aman pet'r oil, canım pet'r oil Artık sana, sana, sana muhtacım pet'r oil",Turkey,petroıl,ajda pekkan,2013-02-28,74,75,80,114,58,0,10,20,-9,E minor,TRUE,NA,NA,217,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,fall,sad ending,33.33333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA
ædnan sámiid,hætta kjellsberg mattis sverre,1980,"Enkel tone, to små ord: Sámiid Ædnan, samisk jord Kom som vindpust ifra nord, ifra nord, Sámiid Ædnan  Kan et krav få mjukar form: Sámiid Ædnan, Sameland Vokste sæ fra bris tel storm, bris tel storm, Sámiid Ædnan  Framførr tinget der dem satt, Sámiid Ædnan, Sámiid Ædnan Hørtes joiken dag og natt, Sámiid Ædnan  Framførr tinget der dem satt, oj... Hørtes joiken dag og natt, Sámiid Ædnan  Joik har større kraft enn krutt, Sámiid Ædnan Førr en joik tar aldri slutt, oh... Sámiid Ædnan  Førr en joik tar aldri slutt, Sámiid Ædnan",Norway,ædnan sámiid,hætta kjeldsberg mattis sverre,2010-01-01,37,28,33,100,88,0,0,40,-9,D,TRUE,"A simple tune, two small words:
Lapland, Sami earth
It came with the wind from north
From north, Lapland
Can a demand get any softer:
Lapland, the land of the Sami people
It grew from a breeze to a storm
From a breeze to a storm, Lapland In front of the parliament where they sat
Lapland, Lapland
The yoik was heard day and night
Lapland In front of the parliament where they sat, oy…
The joik was heard day and night
Lapland Joik is stronger than gunpowder
Lapland
Because a yoik never ends
Oh… Lapland Because a yoik never ends
Lapland",Norwegian (title Sami),49,0,4,4,4,0,0,1,0,0,0,2,anger,fall-rise,happy ending,8.333333333333332,7,0,14.285714285714285,0,57.14285714285714,28.57142857142857,0,0,0
,telex,1980,"Beaux messieurs, belles dames Musique au programme Chanteurs, à vos gammes Que le meilleur gagne  Les frontières sont ouvertes Que déclarer si ce soir c'est la fête? Les vedettes sont inquiètes Elles se maquillent Fument une cigarette Avant d'aller sur la sellette  Eurovision, Eurovision, Eurovision Eurovision, Eurovision, Eurovision  Vieille Europe acclame le pays qui gagne Puis verse une larme, c'est la fin du charme  Les yeux du monde entier guettent, impatients Les flashs télévisés Qui vont leur annoncer Par satellites et par câbles blindés Ce qui se passe en leurs contrées  Eurovision, Eurovision, Eurovision Eurovision, Eurovision, Eurovision  Eurovision, Eurovision, Eurovision",Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Beautiful ladies, beautiful gentlemen
Music on the programme
Singers, get ready
May the best win The borders are open
What should I say if tonight is a party?
The stars are nervous
They do their make up, smoke a cigarette
Before going on stage Eurovision, Eurovision, Eurovision
Eurovision, Eurovision, Eurovision Old Europe cheers
The country that wins
Then a tear
The spell is broken The eyes of the whole world are
Waiting, impatiently, for news flashes
That are going to announce
By satellite and by shielded cables
What's happening in their regions Eurovision, Eurovision, Eurovision
Eurovision, Eurovision, Eurovision Eurovision, Eurovision, Eurovision",French,51,4,5,1,1,2,0,2,3,2,0,0,joy,fall,sad ending,40,10,30,20,20,10,0,0,20,0
bitakat hob,bensaïd samira,1980,"Nahna atfal kull el-dunya Talbeen aisha radhia hanya Ma feehash heqd, ma feehash nar W la khissam beyn jar w jar  Nahna atfal kull el-dunya Talbeen aisha radhia hanya Ma feehash heqd, ma feehash nar W la khissam beyn jar w jar  Ma feehash shmeys beyn el-alwan W el-assl wahed, w el-kull ikhwan Ma bghina hroub w la alam Baghyin hayat kulha salam  Ma feehash shmeys beyn el-alwan W el-assl wahed, w el-kull ikhwan Ma bghina hroub w la alam Baghyin hayat kulha salam  Feeha el-aman w el-haq w el-kheir Feeha el-wafa' w el-hobb el-kbeer Bitaqet hobb w eshwaq harra Mesh mou men jbeen ghadra  Ma'aha er-rajaa, kull er-rajaa Leylaqi aalam youlabbi en-nida' Nahna atfal kull ed-dunya Talbeen aisha radhia hanya  La lalalala... Lala lalalala... Lala lalalala... Lalalala lala lala...  La lalalala... Lala lalalala... Lala lalalala... Lalalala lala lala...",Morocco,bitakat hob,said samira,1980-01-01,54,70,74,121,82,0,0,10,-6,A minor,TRUE,"We are the children of the whole world.
Asking for a decent, happy life.
With no malice, no fire(1),
And with no antagonism between neighbors. A life with no discrimination between the colors,
And our origin is the same, and all are brothers.
We don't want wars, nor pain.
We want a completely peaceful life. A life with no discrimination between the colors,
And our origin is the same, and all are brothers.
We don't want wars, nor pain.
We want a completely peaceful life. A life with peace, justice and goodness.
A life with loyalty and great love.
A love postcard, some burning desires.
We are a beautiful bouquet made up from every continent. Kindly, oh world, kindly,
Answer our call.
We are the children of the whole world.
Asking for a decent, happy life. La lalalala…
Lala lalalala…
Lala lalalala…
Lalalala lala lala… La lalalala…
Lala lalalala…
Lala lalalala…
Lalalala lala lala…",Arabic,72,7,14,7,4,6,2,6,10,4,3,9,joy,rise,happy ending,29.411764705882355,44,22.727272727272727,13.636363636363635,9.090909090909092,9.090909090909092,20.454545454545457,4.545454545454546,13.636363636363635,6.8181818181818175
