  #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date ,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC
1,"SERVING - Eurovision Official Version","Miriana Conte",122,9A,71,2025-05-18,02:59,49,"","","SERVING",2025-04-23,77,3,0,85,0,10,-5,E minor,4,2lide7NEaVQGRtiHm61uCW,"Sony Music Sweden",SEBGA2500523
2,"SURVIVOR","PARG",132,7A,80,2025-05-18,02:58,50,"","","SURVIVOR",2025-03-21,55,1,0,22,0,30,-5,D minor,4,4FqL1MlFQ67DipYCbmHzj8,"PARG",QM6MZ2540690
3,"La poupée monte le son","Laura Thorn",132,9B,73,2025-05-18,02:58,52,"","","La poupée monte le son",2025-03-18,73,2,0,63,0,0,-5,G,4,6IabIimt88FcZu80dunXWA,"Ily8",FR9W12513083
4,"Freedom - Eurovision 2025 - Georgia","Mariam Shengelia",153,9B,72,2025-05-18,02:50,35,"","","Freedom (Eurovision 2025 - Georgia)",2025-03-17,35,12,0,25,10,30,-8,G,5,5mjD2U1w6217p73LC9MEht,"Universal Music A/S",DKUM72500106
5,"maman","Louane",88,6A,58,2025-05-18,03:00,57,"french pop, chanson, variété française","","maman",2025-03-15,44,9,0,24,0,10,-6,G minor,4,1iJ9cSEWYQsd2M7ROFyIZx,"Universal Music Division Island Def Jam",FRUM72500333
6,"Bird of Pray - Eurovision 2025","Ziferblat",134,11A,63,2025-05-18,03:00,49,"","","Bird of Pray (Eurovision 2025)",2025-03-14,52,3,0,29,0,10,-5,F#/G♭ minor,4,5lmoGiZquqsW9sNxJQGRHn,"Geisha Ninja Samurai",FR59R2548234
7,"Esa Diva","Melody",127,2B,90,2025-05-18,02:58,23,"flamenco pop","","Esa Diva",2025-03-14,72,6,0,55,0,10,-4,F#/G♭,4,6utHjfvlsCAj0V6Wg6mXqx,"RUMBERA RECORD distributed by Altafonte",ES71G2508758
8,"Shh","Theo Evan",142,9B,95,2025-05-18,02:57,45,"","","Shh",2025-03-11,48,0,0,30,10,30,-5,G,4,3mwqwFYIrO8hE3YBN8gk14,"K2ID PRODUCTIONS LIMITED",GXD7G2537457
9,"Voyage","Zoë Më",170,5A,24,2025-05-18,02:59,57,"","","Voyage",2025-03-10,33,83,0,45,0,10,-10,C minor,3,4Y0lQy86Qz9ncQwgTTS2rc,"Warner Music Central Europe",DEA622500652
10,"Deslocado","NAPA",76,2B,46,2025-05-18,02:59,75,"","","Deslocado",2025-03-10,57,15,0,41,0,10,-8,F#/G♭,4,31CsSZ9KlQmEu0JvWSkM3j,"NAPA",PTUM72500004
11,"Dobrodošli - Eurovision 2025","Nina Zizic",82,7A,73,2025-05-18,03:23,29,"","","Dobrodošli (Eurovision 2025)",2025-03-10,39,17,0,19,0,10,-4,D minor,4,19Tty48pp2obWcLiRbEAVG,"Dimitrov",QZNFJ2425736
12,"What The Hell Just Happened?","Remember Monday",136,9B,64,2025-05-18,02:56,51,"","","What The Hell Just Happened?",2025-03-07,35,1,0,36,0,20,-5,G,4,39psNd97jsWTYIXrLOTco2,"The Other Songs",QM4TX2580378
13,"Kiss Kiss Goodbye","ADONXS",186,8A,53,2025-05-18,02:56,48,"","","Kiss Kiss Goodbye",2025-03-07,27,10,0,32,0,30,-8,A minor,3,2ceIi1kJxozE30OURIMkfN,"WM Czech Republic",CZA232500093
14,"Wasted Love","JJ",133,12A,83,2025-05-18,02:44,62,"","","Wasted Love",2025-03-06,29,24,0,27,0,10,-4,C♯/D♭ minor,4,321yySUTzRXUbzkRTeTzDB,"Warner Music Central Europe",DEA622500513
15,"C'est La Vie","Claude",124,11B,46,2025-05-18,02:40,59,"nederpop","","C'est La Vie",2025-02-27,48,27,0,27,0,10,-8,A,4,0b9RNAzGtDRRMQS1cF9HXT,"Cloud 9 Digital",NLS242500032
16,"Milkshake Man","Go-Jo",154,8B,72,2025-05-18,02:52,40,"","","Milkshake Man",2025-02-25,46,2,0,64,20,20,-6,C,4,1kvxvVdeauiXc5ue0Z3HoS,"Chugg Music / Rix Records",SGB502501349
17,"Bara Bada Bastu","KAJ",106,8A,89,2025-05-18,02:46,66,"","","Bara Bada Bastu",2025-02-21,76,8,0,75,0,0,-5,A minor,4,2gThkoApt6B7ajBWZRLAVv,"WM Sweden",SEPQA2500011
18,"Run With U","Mamagama",116,6A,80,2025-05-18,03:03,41,"","","Run With U",2025-02-20,64,3,0,50,0,30,-8,G minor,4,4NdNOrfHfNIprOJ3Uq1l43,"BEAT Music",QM4TX2563112
19,"Baller","Abor & Tynna",138,5A,84,2025-05-18,02:39,63,"","","Bittersüß",2025-02-14,73,6,0,83,0,20,-4,C minor,4,4kbkYbhWNiSJraySknB4hD,"Jive",DEE862401926
20,"Volevo essere un duro","Lucio Corsi",79,12B,68,2025-05-18,03:05,62,"italian singer-songwriter, singer-songwriter","","Volevo essere un duro",2025-02-12,47,18,0,49,0,20,-6,E,4,5sFbAYktReH4AJbATsGAw8,"Universal Music Italia srL. (Sugar)",ITZ042500001
21,"Hallucination","Sissal",140,11A,80,2025-05-18,03:03,53,"","","Hallucination",2025-02-06,62,4,0,42,0,0,-5,F#/G♭ minor,4,07JJ7J8JhEztiEcczioBws,"The Arrangement",DKL502500543
22,"How Much Time Do We Have Left","Klemen",120,12B,35,2025-05-18,03:03,39,"","","How Much Time Do We Have Left",2025-02-01,59,47,0,16,0,20,-8,E,4,104QgPphJUPg86IWYnAnL7,"Universal Music Polska Sp. z o.o.",SIUM72500001
23,"Asteromata","Klavdia",122,12A,54,2025-05-18,02:55,52,"laïko","","Asteromata",2025-01-31,50,15,0,21,0,20,-6,C♯/D♭ minor,4,2aE2SRm4QraCuDBNnBsRIz,"Panik Records",GRPA12500016
24,"Tavo akys","Katarsis",110,8A,76,2025-05-18,02:52,51,"","","Tavo akys",2025-01-31,51,0,0,22,0,0,-5,A minor,4,1imPa2lzxmLKggLCpkBAoo,"Katarsis, Žiauru",LTO832500001
25,"Tutta L'Italia","Gabry Ponte",128,2B,83,2025-05-18,02:56,62,"italo dance, slap house","","Tutta L'Italia",2025-01-31,68,3,0,74,0,0,-3,F#/G♭,4,0h3w9Sr1gToqxA9gIs5O39,"Warner Music",ITV952500006
26,"Mila","Princ",140,6A,39,2025-05-18,02:58,35,"","","Mila",2025-01-27,36,75,0,43,0,30,-7,G minor,4,30ivP0TxQ9owZotAbhbiGt,"RTS DIGITAL",RSA042500032
27,"Strobe Lights","Red Sebastian",145,9B,86,2025-05-18,02:58,47,"","","Strobe Lights",2025-01-25,54,3,1,13,10,0,-7,G,4,0Tx2AeVKiYQjk8u9p4j6kV,"Mostiko",BEJX12500019
28,"Lighter","Kyle Alessandro",105,7A,66,2025-05-18,02:55,63,"","","Lighter",2025-01-24,70,1,0,56,0,20,-4,D minor,4,0AMoopn68aGAAaJ9qFXPnX,"WM Norway",NOAGW2400159
29,"GAJA - Eurovision Edit","Justyna Steczkowska",116,8A,84,2025-05-18,03:00,50,"europop","","GAJA (Eurovision Edit)",2025-01-21,60,0,12,48,0,20,-6,A minor,4,0wNpA89DLOyKlZZVJ7wCac,"Justyna Steczkowska",PLI363920200
30,"Laika Party","EMMY",132,7A,80,2025-05-18,03:00,53,"","","Laika Party",2025-01-20,65,12,0,51,0,30,-7,D minor,4,5PZnJ8GErvuiCo7wKKtpKo,"EMMY",NOK5P2501010
31,"RÓA","VÆB",140,4B,86,2025-05-18,02:42,59,"","","RÓA",2025-01-17,59,1,0,45,10,0,-6,G#/A♭,4,1YnOwWvV1bQevRqJMCbYJz,"Alda Music",ISB112500109
32,"ICH KOMME","Erika Vikman",147,9B,84,2025-05-18,03:00,57,"finnish pop, iskelmä, europop","","ICH KOMME",2025-01-16,33,1,0,59,0,30,-6,G,4,52NFoPnzxOKPIcJIQ9mb5Q,"WM Finland",FIWMA2500001
33,"Poison Cake","Marko Bošnjak",171,11A,76,2025-05-18,02:58,43,"","","Poison Cake",2025-01-10,54,8,0,45,30,10,-8,F#/G♭ minor,4,0jtkkJ6Q0IB5iw5obHJDVl,"Aquarius Records",HRA102510684
34,"Zjerm","Shkodra Elektronike",95,5A,87,2025-05-18,03:04,52,"","","Zjerm",2024-12-10,61,6,0,54,0,10,-4,C minor,4,1MMfGAHowKNRithYDIRS1k,"Shkodra Elektronike",USY242474997
35,"Espresso Macchiato","Tommy Cash",120,10A,69,2025-05-18,02:53,58,"","","Espresso Macchiato",2024-12-07,68,1,0,65,0,10,-6,B minor,4,3gWBWLw3J3XTy3QTo36GqJ,"TOMMY CASH",DGA0S2441622
36,"Bur man laimi","Tautumeitas",140,11B,83,2025-05-18,02:58,49,"","","Bur man laimi",2024-12-04,33,6,0,42,10,20,-6,A,4,6oGrwxJItvG261mLBk6DmK,"Tautumeitas",QMDA72474127
37,"Ulveham","Gåte",130,10A,78,2024-05-13,03:00,0,"norsk rock, folk metal, folk rock","","Ulveham",2024-05-03,42,1,0,23,0,0,-5,B minor,4,4Fo5QwbxjpNKW191lHQhnm,"Indie Recordings",NOCVC2357060
38,"Fighter - Eurovision Version","TALI",95,11A,61,2024-05-13,02:59,44,"","","Fighter (Eurovision Version)",2024-03-29,71,26,0,52,10,0,-5,F#/G♭ minor,4,6syLoIbMRXvCEr94FMVBHh,"Jo&Co",FR9W12412766
39,"Pedestal - Eurovision version","Aiko",150,11A,76,2024-05-13,02:57,39,"","","Pedestal (Eurovision version)",2024-03-22,50,3,0,51,0,0,-5,F#/G♭ minor,4,0XzSKAgVOdtMSfzYY0qtAb,"Independent",FR96X2469602
40,"Özünlə Apar","Fahree, İlkin Dövlətov",96,6A,84,2024-05-13,03:02,37,"","","Özünlə Apar",2024-03-16,44,1,0,9,0,30,-6,G minor,4,6EwXG9cPjesjehN0kw30xs,"BEAT Music",QM4TX2456469
41,"Loop","Sarah Bonnici",110,1A,90,2024-05-13,02:59,40,"","","Loop",2024-03-14,65,4,0,49,10,30,-4,G#/A♭ minor,4,3DlWvRuHXQ3iQicBauinOd,"Sarah Bonnici",QZHN52408145
42,"Hurricane","Eden Golan",87,9A,57,2024-05-13,02:58,50,"","","Hurricane",2024-03-11,58,41,0,53,0,10,-6,E minor,3,2Ozw7k5CLtM5W9SomrOyjw,"Kan Israeli Public Broadcasting & Session42",IL6432200809
43,"Firefighter","Nutsa",115,9A,92,2024-05-13,03:03,0,"","","Firefighter",2024-03-11,60,2,0,21,0,10,-2,E minor,4,5Ekw4o2ecrOCBF5rGB7KXs,"Dimitrov",QZNFJ2400684
44,"TiTAN","Besa",82,9B,67,2024-05-13,02:56,35,"","","TiTAN",2024-03-11,61,15,0,43,0,40,-7,G,4,669R9eowHoeQkrbnkUalI8,"Besa",TCAIA2440732
45,"ZARI","Marina Satti",102,8B,60,2024-05-13,03:00,47,"entehno, laïko","","ZARI",2024-03-07,79,12,0,56,0,10,-4,C,4,4sDLQ5atDUHhbikD1UQ2mW,"Minos - EMI SA Distribution Deals",GRUM72400225
46,"One Milkali (One Blood)","Electric Fields",110,5A,87,2024-05-13,02:56,37,"","","One Milkali (One Blood)",2024-03-05,69,5,0,82,0,0,-4,C minor,4,74mWVYv6xPilcalOxrQa5Y,"Wonderlick",AUBM02400026
47,"Unforgettable","Marcus & Martinus",117,12A,85,2024-05-13,02:48,59,"norwegian pop","","Unforgettable",2024-03-02,60,4,0,34,0,0,-5,C♯/D♭ minor,4,5L8C1PZGCpZf8STcN79H5j,"Universal Music AB",SEUM72301806
48,"Liar","Silia Kapsis",100,3A,86,2024-05-13,02:58,0,"","","Liar",2024-03-01,70,8,0,33,0,10,-7,A#/B♭ minor,4,1ssBrm3EZb20Kb19roQIcy,"K2ID PRODUCTIONS LIMITED",GBLLT2405111
49,"Dizzy","Olly Alexander (Years & Years)",126,5A,72,2024-05-13,02:52,46,"","","Dizzy",2024-03-01,62,19,0,44,0,10,-7,C minor,4,4GEmQTg7yfnfZoNhgpCg61,"Polydor Records",GBUM72400650
50,"We Will Rave","Kaleen",140,4B,91,2024-05-13,03:05,53,"","","We Will Rave",2024-03-01,58,1,2,26,0,0,-5,G#/A♭,4,1QpWQMKfQ44QUN1dEg65T8,"Wifi Records/Warner Music Central Europe",DEA622400635
51,"The Code","Nemo",160,4A,77,2024-05-13,03:00,61,"","","The Code",2024-02-29,54,22,0,49,10,0,-4,F minor,4,1EjIXKhNHI00ZLMRpS8iz8,"Better Now Records",DEUM72401182
52,"Europapa","Joost",160,10A,94,2024-05-13,02:40,65,"gabber, europop","","Europapa",2024-02-29,71,17,0,48,10,20,-5,B minor,4,0uHrMbMv3c78398pIANDqR,"Joost Klein",NL4TG2400001
53,"Scared of Heights","Hera Björk",128,8A,79,2024-05-13,03:03,33,"","","Scared of Heights",2024-02-27,62,1,0,62,0,10,-7,A minor,4,0Vsjlru86RuL55GX5LsnF3,"Alda Music",ISB112400618
54,"BEFORE THE PARTY'S OVER","Mustii",93,7A,70,2024-05-13,02:59,45,"","","BEFORE THE PARTY'S OVER",2024-02-20,51,7,0,31,0,0,-6,D minor,4,1A4pbfIyAuyZkIrRr4tK2X,"[PIAS] Recordings Belgium",BEP012410001
55,"11:11","Megara",136,9B,93,2024-05-13,03:00,36,"","","11:11",2024-02-15,52,0,0,63,0,30,-4,G,4,6XIerJ9V7H9byQFRZiqyCv,"Megara",USA2P2405969
56,"la noia","Angelina Mango",112,7A,87,2024-05-13,03:09,58,"","","la noia",2024-02-07,68,13,0,68,0,0,-3,D minor,4,49R1F3rIdSzuPk7AcHi6d1,"Latarma S.r.l.",ITJG42400001
57,"SAND","SABA",114,9A,86,2024-05-13,03:00,42,"","","SAND",2024-01-25,57,1,0,20,10,30,-5,E minor,4,79feeOJI7Rk8xwDdrOFsDO,"The Arrangement",DKL502400530
58,"The Tower","LUNA",156,7B,87,2024-05-13,03:00,41,"melodic techno","","The Tower",2024-01-23,58,0,2,69,0,20,-7,F,4,4IUMSDTVvUellFQ7RxI3kZ,"Universal Music Polska Sp. z o.o.",PLUM72400005
59,"Ramonda","Teya Dora",85,8A,32,2024-05-13,02:54,41,"","","Ramonda",2024-01-22,44,86,0,36,0,10,-8,A minor,4,3LDCaH8okEKDnLKEazmTDa,"RTS DIGITAL",RSA042400064
60,"Veronika","Raiven",135,4A,62,2024-05-13,02:46,41,"","","Veronika",2024-01-20,55,10,0,33,0,10,-9,F minor,4,5M2L5RqF8zRvFwPUrQ1tX6,"Raiven",AT2DY2400002
61,"Always on the run","ISAAK",110,3A,64,2024-05-13,03:29,54,"","","Always on the run",2024-01-19,64,10,0,40,0,10,-6,A#/B♭ minor,4,3BJ0uXKEz9fUxCbZle1rCE,"Good Kid Records & Polydor x Island Records",DECE72400010
62,"In the Middle","Natalia Barbu",114,1A,80,2024-05-13,02:58,33,"","","In the Middle",2024-01-19,57,8,0,43,0,10,-4,G#/A♭ minor,4,5ViF3hsL0iwD7jhh5JB2Ip,"Ragoza Music",QM4TW2434688
63,"Grito","IOLANDA",152,2A,48,2024-05-13,02:56,35,"","","Festival da Canção 2024",2024-01-18,39,41,0,17,0,10,-9,D#/E♭ minor,3,2zhBeIoGEqISdQOu4HtQZc,"Universal Music Portugal SA Distributed Labels",PTIBR2400001
64,"No Rules!","Windows95Man",160,10A,95,2024-05-13,02:55,48,"","","No Rules!",2024-01-16,49,3,0,62,0,30,-5,B minor,4,4QWrK6lpr8rZ6sa8ymqMrq,"All Day Entertainment Oy",FIACQ2400001
65,"Rim Tim Tagi Dim","Baby Lasagna",128,11B,87,2024-05-13,02:59,59,"europop","","Rim Tim Tagi Dim",2024-01-12,59,0,0,58,0,40,-7,A,4,5TswDbxMnxptgFTf6ZxvXQ,"Polydor / Universal Music Hrvatska",AT2DY2400003
66,"Teresa & Maria","alyona alyona, Jerry Heil",114,6A,65,2024-05-13,02:59,58,"","","Teresa & Maria",2024-01-11,69,32,0,25,0,10,-7,G minor,4,7n3Czk07KugPQOWuqCHDmF,"ENKO",UAEO12300107
67,"Luktelk","Silvester Belt",140,10A,95,2024-05-13,02:41,0,"","","Luktelk",2024-01-11,76,43,0,38,0,0,-6,B minor,4,4ZBe9Plh2adT70U4PDxve1,"OpenPlay",QZFZ22426231
68,"Hollow","Dons",148,12A,43,2024-05-13,02:51,42,"","","Hollow",2024-01-01,44,8,0,19,0,10,-9,C♯/D♭ minor,4,6lvDhgHLeC9wBOOVKGCfJi,"Universal Music Latvia",LVUM72300039
69,"ZORRA","Nebulossa",130,8A,65,2024-05-13,03:03,56,"","","ZORRA",2023-12-15,71,0,0,78,0,10,-6,A minor,4,4ypCNolz6aRYZPO3UOGp8Z,"ATOMIC RECORDS",ESUM72303103
70,"(nendest) narkootikumidest ei tea me (küll) midagi","5MIINUST, Puuluup",145,10B,88,2024-05-13,02:47,46,"","","(nendest) narkootikumidest ei tea me (küll) midagi",2023-12-08,52,3,0,83,0,20,-5,D,4,3wdfbb4qfNmPHJRn8ILMHk,"Universal Music Estonia",EEUM72300054
71,"Mon amour","Slimane",142,10A,36,2024-05-13,03:00,61,"french pop, variété française, chanson","","Mon amour",2023-11-08,52,14,0,17,0,0,-8,B minor,4,5N7IYups0hGrlVcvj0bmHG,"Universal Music Distributed Labels",FRDZ22300550
72,"Doomsday Blue","Bambie Thug",130,3A,85,2024-05-13,03:03,53,"","","Cathexis",2023-10-13,49,1,28,16,0,10,-7,A#/B♭ minor,4,7qiEoVlFjb3KaytT2zgK1g,"HAUS OF THUG",TCAHL2394072
73,"Jako","Ladaniva",133,9B,74,2024-05-13,02:25,47,"","","Ladaniva",2023-09-29,43,16,0,58,0,30,-5,G,4,2MiEtw8UquKvxOwu47oTMu,"JIGULI",FR9W12302402
74,"Un premier amour","Isabelle Aubret",97,7A,32,2023-06-23,02:32,3,"chanson","","Eurosong Party 2023",2023-05-01,38,83,0,46,0,10,-11,D minor,4,5twf4n4Z5JqveRiKu3pLwf,"UME - Global Clearing House",FRZ036203430
75,"N Beetje","Teddy Scholten",72,5A,45,2023-06-23,02:51,2,"hollands","","Eurosong Party 2023",2023-05-01,48,78,0,64,0,30,-8,C minor,4,13ecezTGu67p5PG8UTEjyP,"UME - Global Clearing House",NLA305900045
76,"Nocturne","Secret Garden",82,7A,26,2023-06-23,03:11,2,"new age, celtic, classical crossover","Classical, Easy Listening","Eurosong Party 2023",2023-05-01,17,96,60,13,0,0,-14,D minor,3,56Q50oUEGNGPeyO4tDmREG,"UME - Global Clearing House",NOACM9502021
77,"One Step Out Of Time","Michael Ball",121,12B,73,2023-06-23,03:02,16,"classical crossover, musicals","Classical, Easy Listening, Pop","Eurosong Party 2023",2023-05-01,75,11,0,89,0,40,-8,E,4,7dpd5lxsIGY8v6SD1CChsX,"UME - Global Clearing House",GBAKW9200496
78,"Love City Groove - 7  Mix","Love City Groove",98,12A,91,2023-06-23,03:58,0,"","","Love City Groove (Eurovision Mixes)",2023-04-28,68,2,0,63,10,30,-7,C♯/D♭ minor,4,5Pe8SsE3LZ7dH1R4HozB1Q,"Sanctuary Records",GB5KW2300739
79,"Iemand Als Jij","Barbara Dex",126,7B,29,2023-06-23,04:07,19,"","","Dex in 't Groot",2023-04-21,23,50,1,7,0,10,-11,F,4,55nhHjKI51viFnJoL955Wj,"Mostiko",BEK012200198
80,"Like an Animal","Piqued Jacks",128,8B,79,2023-06-23,02:59,0,"","","Like an Animal",2023-04-05,54,0,0,64,0,20,-6,C,4,7nHxIAj5achKMZnYNcbzfe,"BMG Rights Mgmt Italy S.R.L.",ITPQU2300001
81,"I Wrote A Song - Video Version","Mae Muller",125,8A,94,2023-06-23,03:06,0,"","","I Wrote A Song (Video Version)",2023-03-31,71,3,0,47,0,10,-4,A minor,4,3lW63fXbyhY3QTsadfoANc,"Capitol Records UK / EMI",GBUM72302593
82,"Echo - Eurovision 2023 - Georgia","Iru",145,6A,91,2023-06-23,03:01,35,"","","Echo",2023-03-24,59,11,2,37,10,30,-4,G minor,4,6Dw7BShqIiGPq69VEQ2hpd,"Universal Music A/S",DK2DY2300037
83,"Future Lover","Brunette",103,7A,44,2023-06-23,02:46,45,"","","Future Lover",2023-03-17,56,89,0,24,0,10,-11,D minor,4,3MKTciJfDAJjO0SjFZQsVx,"Brunette",TCAGY2344057
84,"Echo","Iru",145,6A,92,2023-06-23,03:02,0,"","","Echo",2023-03-17,57,12,1,34,10,10,-3,G minor,4,388LVXGVL3VLrd6C7lKjcp,"GIGASTUDIOPRODUCTION",TCAGY2306566
85,"What They Say","Victor",155,8B,53,2023-06-23,02:59,31,"","","What They Say",2023-03-14,40,41,0,38,0,50,-7,C,4,7DYkoGwnTbEMGiNuoiB1gs,"Panik Records",GRPA12300064
86,"Tell Me More","TuralTuranX",96,10B,75,2023-06-23,02:58,30,"","","Tell Me More",2023-03-14,71,2,0,42,0,20,-8,D,4,2pXSRhFrsoG57v4tZ36ogu,"BEAT Music",QM4TX2347670
87,"Duje","Albina Kelmendi, Familja Kelmendi",110,7A,80,2023-06-23,03:02,33,"","","Duje",2023-03-10,64,5,0,43,10,10,-6,D minor,4,2odhCHmCk14Plv4CFbEjRJ,"Albina Kelmendi",QZAKB2322910
88,"Heart of Steel - Eurovision Version","TVORCHI",78,1A,52,2023-06-23,02:38,41,"","","Heart of Steel (Eurovision Version)",2023-03-09,53,1,0,34,0,0,-8,G#/A♭ minor,4,155yInH5aDNEI1MkcX6NNk,"BEST MUSIC",UABM12300130
89,"I Wrote A Song","Mae Muller",125,8A,89,2023-06-23,02:45,33,"","","I Wrote A Song",2023-03-09,70,4,1,78,0,0,-4,A minor,4,7J6ZI2YKLJ8DUY2XFREHvL,"Capitol Records UK / EMI",GBUM72301765
90,"I Wrote A Song","Mae Muller",125,8A,89,2023-06-23,02:45,0,"","","I Wrote A Song",2023-03-09,70,4,1,78,0,0,-4,A minor,4,0rO1zf0e7l8s7PRjchQpyn,"Capitol Records UK / EMI",GBUM72301765
91,"Unicorn","Noa Kirel, כאן - תאגיד השידור הישראלי",130,11A,87,2023-06-23,02:50,50,"mizrahi","","Unicorn",2023-03-08,68,2,0,28,10,30,-5,F#/G♭ minor,4,6dUregFbvUNqHP5nphqesK,"KAN Israeli Public Broadcasting Corporation under exclusive license to D-Music",IL7532313113
92,"Who the Hell Is Edgar?","TEYA, SALENA",146,10A,64,2023-06-23,02:39,50,"","","Who the Hell Is Edgar?",2023-03-08,69,2,0,51,0,10,-8,B minor,4,3gUC7tGDPVLOq42vvTUVdI,"WM Germany",DEA622300267
93,"Watergun","Remo Forrer",138,1A,36,2023-06-23,02:52,48,"","","Watergun",2023-03-07,50,21,0,42,0,10,-13,G#/A♭ minor,4,4ih4oGbMt9b6PbKhTPbAmw,"Manifester Music/WM Germany",DEA622300270
94,"POWER","Diljá",160,4A,74,2023-06-23,03:03,36,"","","POWER",2023-03-05,39,1,0,29,0,30,-5,F minor,4,7wD30C4OrUzpj8ycl4PeSt,"Alda Music",ISV982312101
95,"Dance (Our Own Party)","The Busker",103,4A,78,2023-06-23,02:49,35,"","","Dance (Our Own Party)",2023-03-03,70,2,0,82,0,10,-6,F minor,4,3natKRDYwMSPsLO9nX8y02,"3241986 Records DK2",QZES62361037
96,"Break a Broken Heart","Andrew Lambrou",130,2A,74,2023-06-23,02:58,47,"","","Break a Broken Heart",2023-03-02,43,6,0,43,0,10,-4,D#/E♭ minor,4,5dRAJ9UsR0qyMMKnonWewz,"Panik Records / City Pop Records",GRPA12300048
97,"Burning Daylight","Mia Nicolai, Dion Cooper",75,5B,43,2023-06-23,03:04,40,"","","Burning Daylight",2023-03-01,51,60,0,27,0,10,-9,D#/E♭,4,5pjp1jN7hitQTuSlT2jOep,"Universal Music, a division of Universal International Music BV",NL6NQ2300004
98,"Tattoo","Loreen",150,2A,78,2023-06-23,03:03,81,"europop","","Tattoo",2023-02-25,55,24,0,30,0,10,-6,D#/E♭ minor,4,1DmW5Ep6ywYwxc2HMT5BG6,"Universal Music AB",SEUM72201638
99,"Stay - ČIŪTO TŪTO","Monika Linkyte",98,1B,56,2023-06-23,02:57,28,"","","Stay (ČIŪTO TŪTO)",2023-02-24,45,9,0,20,0,0,-6,B,4,4yOIHfzshv3Mr1nuq7ZPSw,"Creative Industries",QZDA82366393
100,"Muretut meelt ja südametuld","Minimal Wind, Janika Sillamaa",151,12B,32,2023-06-23,03:00,6,"","","Muretut meelt ja südametuld",2023-02-24,34,3,0,6,0,10,-14,E,3,1ad8jl9hnl4OEwpNa5fd77,"Minimal Wind",QZDA82326059
101,"Promise","Voyager",122,8B,69,2023-06-23,03:03,42,"progressive metal, djent, progressive rock","","Promise",2023-02-22,64,0,0,30,0,10,-8,C,4,0LeK6Ol47og0WdGwKegNUL,"Season of Mist",AUQJD2300001
102,"Euphoria - Single Version","Loreen",132,10A,78,2023-06-23,03:01,51,"europop","","Euphoria (The Alternative Mixes)",2023-02-20,56,14,0,39,0,20,-5,B minor,4,2I0NkzwRH4Onzzg5UbmcpE,"WM Sweden",SEPQA1200005
103,"Évidemment","La Zarra",120,1B,74,2023-06-23,03:01,52,"french pop","","Évidemment",2023-02-19,73,12,0,24,0,0,-5,B,4,18ZX6YaDSOopXPRvfIh8DM,"Universal Music Division Capitol Music France",FRUM72300407
104,"Évidemment","La Zarra",120,1B,75,2023-06-23,03:01,0,"french pop","","Évidemment",2023-02-19,73,12,0,23,0,0,-5,B,4,1c6zwsXfULeO1c6MysHcn2,"Universal Music Division Capitol Music France",FRUM72300407
105,"Stay","Monika Linkyte",98,1B,55,2023-06-23,03:04,37,"","","Stay",2023-02-14,40,3,0,18,0,0,-7,B,4,6ouoSKOsxFa7wV6wMJHAOy,"Creative Industries",QZDA62317585
106,"Due Vite","Marco Mengoni",117,10B,54,2023-06-23,03:45,56,"concerto","","Due Vite",2023-02-08,64,40,0,13,0,0,-6,D,4,5htUUUBlgHZ9fztWTTDEFm,"Epic",ITB002201103
107,"Due Vite - Eurovision Version","Marco Mengoni",117,10B,61,2023-06-23,03:04,29,"concerto","","Due Vite (Eurovision Version)",2023-02-07,64,38,0,16,0,10,-6,D,4,1kLkueHl8SdYc31QQ5PbS0,"Epic",ITB002300638
108,"Carpe Diem","Joker Out",132,12A,66,2023-06-23,02:45,48,"","","Carpe Diem",2023-02-04,69,1,0,56,0,10,-9,C♯/D♭ minor,4,14ibwN44PVKuvEqLiaNkKu,"Joker Out",SIABJ2300001
109,"Samo mi se spava","Luke Black",103,11B,73,2023-06-23,02:53,0,"","","Samo mi se spava",2023-02-02,55,1,0,12,0,40,-8,A,4,7wLxoyWoClSUAlKGjaefQn,"RTS DIGITAL",RSA042300092
110,"In De Mallemolen","Heddy Lester",99,6B,29,2023-06-23,03:04,0,"","","Hits Van Eigen Bodem, Vol. 1",2023-02-01,47,57,0,54,0,30,-22,A#/B♭,4,5VPe0GXcR689RZtcpsVFT5,"Huistede",TCAGU2349386
111,"My Sister's Crown","Vesna",150,9A,92,2023-06-23,02:56,48,"","","My Sister's Crown",2023-01-30,55,5,0,51,10,30,-6,E minor,4,59md7R7fW5LjSbZITzzn3n,"Virgin Music Label And Artist Services (S&D)",CZAH92300001
112,"Power","Diljá",160,4A,73,2023-06-23,03:00,0,"","","Söngvakeppnin 2023",2023-01-28,41,1,0,29,0,20,-5,F minor,4,1qgoKW7lh3JigVPJtmh676,"Ríkisútvarpið - Exclusively distributed by Alda Music",ISV982306616
113,"Ai Coração","Mimicat",145,11A,63,2023-06-23,02:54,38,"","","Festival da Canção 2023",2023-01-27,66,31,0,77,0,10,-8,F#/G♭ minor,4,2i2L1439P8JJRqp1jiKfUR,"Sony Music Entertainment",PT8KD2300001
